Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1200000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,110.0,157.0,SHM,Fully-furnished
17000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,850.0,1250.0,SHM,Fully-furnished
4500000000," Balikpapan, Balikpapan Selatan",Rumah,,580.0,1034.0,SHM,
3300000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,80.0,380.0,SHM,Fully-furnished
5800000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,480.0,260.0,SHM,Fully-furnished
4000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,340.0,230.0,SHM,Semi-furnished
2075000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,148.0,168.0,SHM,Fully-furnished
1500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,72.0,102.0,SHM,Semi-furnished
12220000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,350.0,570.0,SHM,Fully-furnished
950000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,48.0,112.0,SHM,Non-furnished
2700000000," Balikpapan, Damai",Rumah,Secondary,219.0,150.0,SHM,Semi-furnished
4650000000," Balikpapan, Gunung Bahagia",Rumah,Secondary,250.0,200.0,SHM,Fully-furnished
1370000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,105.0,153.0,HGB,
900000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,68.0,120.0,SHM,Semi-furnished
5000000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,400.0,505.0,SHM,Non-furnished
1900000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,220.0,165.0,SHM,Non-furnished
2300000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,160.0,169.0,SHM,Non-furnished
4500000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,200.0,674.0,SHM,Non-furnished
12000000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,250.0,576.0,SHM,Fully-furnished
1700000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,300.0,235.0,SHM,Fully-furnished
8000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,750.0,851.0,SHM,
