harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
1650000,  Balikpapan Selatan,180.0,141.0,SHM,Non-furnished,4,3,2200.0,0,0
2100000,  Balikpapan Selatan,50.0,776.0,SHM,Non-furnished,3,1,900.0,0,0
15000000,  Prapatan,2054.0,350.0,SHM,Non-furnished,42,45,33000.0,0,0
1950000,  Balikpapan Utara,139.7,206.0,SHM,Non-furnished,5,2,2200.0,1,1
1180000,  Balikpapan Utara,47.0,78.0,SHM,Semi-furnished,2,2,1300.0,0,0
0,unknown,0.0,0.0,Lain-lain,Non-furnished,0,0,0.0,0,0
2500000,  Balikpapan Baru,160.0,169.0,HGB,Non-furnished,4,3,4400.0,0,0
8000000,  Balikpapan Selatan,750.0,851.0,SHM,Non-furnished,40,40,5500.0,0,0
1350000,  Balikpapan Selatan,160.0,120.0,SHM,Non-furnished,8,4,1300.0,0,0
950000,  Balikpapan Utara,130.0,92.0,SHM,Non-furnished,2,2,2200.0,0,0
900000,  Balikpapan Selatan,68.0,120.0,SHM,Semi-furnished,3,1,2200.0,0,0
1350000,  Damai,96.0,199.0,SHM,Non-furnished,3,1,1300.0,0,0
1000000,  Karang Rejo,238.0,210.0,SHM,Semi-furnished,3,3,2200.0,0,0
500000,  Sepinggan,45.0,90.0,SHM,Semi-furnished,2,1,1300.0,0,0
700000,  Balikpapan Selatan,120.0,120.0,SHM,Non-furnished,3,1,3500.0,0,0
850000,  Balikpapan Utara,80.0,120.0,SHM,Semi-furnished,1,1,4400.0,0,0
5520000,  Balikpapan Selatan,311.0,248.0,SHM,Non-furnished,5,5,3500.0,0,0
4650000,  Gunung Bahagia,250.0,200.0,SHM,Fully-furnished,5,5,4400.0,1,0
1370000,  Balikpapan Selatan,105.0,153.0,HGB,Non-furnished,3,3,1300.0,1,1
5000000,  Balikpapan Tengah,400.0,505.0,SHM,Non-furnished,4,4,4400.0,0,0
1900000,  Balikpapan Tengah,220.0,165.0,SHM,Non-furnished,5,2,2200.0,0,0
2300000,  Balikpapan Tengah,160.0,169.0,SHM,Non-furnished,4,3,4400.0,0,0
4500000,  Balikpapan Tengah,200.0,674.0,SHM,Non-furnished,5,5,4400.0,0,0
12000000,  Balikpapan Tengah,250.0,576.0,SHM,Fully-furnished,5,4,13200.0,0,0
1700000,  Balikpapan Tengah,300.0,235.0,SHM,Fully-furnished,5,3,2200.0,0,0
1450000,  Balikpapan Selatan,56.0,141.0,SHM,Non-furnished,3,2,1300.0,0,0
950000,  Balikpapan Selatan,96.0,100.0,SHM,Fully-furnished,1,2,900.0,0,0
975000,  Balikpapan Utara,70.0,120.0,SHM,Semi-furnished,3,1,2200.0,0,0
945000,  Balikpapan Selatan,119.0,170.0,SHM,Fully-furnished,3,2,2200.0,0,0
750000,  Balikpapan Utara,95.0,111.0,SHM,Non-furnished,2,1,1300.0,0,0
2000000,  Balikpapan Selatan,144.0,122.0,SHM,Non-furnished,3,4,4400.0,0,0
830000,  Balikpapan Tengah,90.0,120.0,SHM,Non-furnished,2,1,1300.0,0,0
2000000,  Balikpapan Selatan,104.0,150.0,SHM,Non-furnished,3,2,3500.0,0,0
2850000,  Balikpapan Selatan,250.0,600.0,SHM,Non-furnished,2,3,5500.0,1,0
5650000,  Balikpapan Utara,380.0,600.0,SHM,Non-furnished,3,4,10000.0,2,0
2150000,  Balikpapan Selatan,350.0,180.0,SHM,Non-furnished,4,4,2200.0,0,0
450000,  Balikpapan Selatan,60.0,60.0,SHM,Non-furnished,2,1,1300.0,0,0
1700000,  Balikpapan Tengah,80.0,180.0,SHM,Non-furnished,2,2,3500.0,0,0
765000,  Balikpapan Selatan,116.0,144.0,SHM,Semi-furnished,2,2,1300.0,0,0
3300000,  Balikpapan Selatan,300.0,315.0,SHM,Non-furnished,4,4,5500.0,0,0
900000,  Balikpapan Utara,60.0,160.0,SHM,Non-furnished,2,1,1300.0,0,0
2800000,  Balikpapan Selatan,130.0,240.0,SHM,Non-furnished,3,3,2200.0,0,0
2650000,  Balikpapan Utara,500.0,311.0,SHM,Non-furnished,6,5,2200.0,0,0
430000,  Balikpapan Utara,36.0,120.0,SHM,Non-furnished,2,1,1300.0,0,0
5000000,  Balikpapan Baru,367.0,450.0,SHM,Non-furnished,5,4,13200.0,0,0
1610000,  Balikpapan Selatan,115.0,152.0,SHM,Non-furnished,4,3,2200.0,0,0
1300000,  Balikpapan Utara,110.0,150.0,HGB,Non-furnished,3,2,4400.0,0,0
1280000,  Balikpapan Utara,130.0,120.0,SHM,Non-furnished,4,2,1300.0,0,0
1555000,  Balikpapan Selatan,150.0,200.0,SHM,Semi-furnished,5,3,2200.0,0,0
2500000,  Balikpapan Baru,70.0,300.0,SHM,Semi-furnished,2,2,1300.0,0,0
4030000,  Balikpapan Selatan,300.0,198.0,SHM,Fully-furnished,4,3,5500.0,1,1
1800000,  Balikpapan Utara,100.0,208.0,SHM,Fully-furnished,3,3,5500.0,0,0
1560000,  Balikpapan Selatan,105.0,153.0,SHM,Non-furnished,4,4,2200.0,0,0
1000000,  Balikpapan Selatan,54.0,180.0,HGB,Non-furnished,2,2,1300.0,0,0
550000,  Balikpapan Selatan,112.0,112.0,SHM,Non-furnished,3,2,1300.0,0,0
2510000,  Balikpapan Utara,123.0,135.0,HGB,Non-furnished,4,3,3500.0,1,0
4080000,  Balikpapan Selatan,160.0,400.0,SHM,Non-furnished,3,2,2200.0,0,0
1540000,  Balikpapan Utara,200.0,211.0,SHM,Non-furnished,4,2,2200.0,0,0
3550000,  Balikpapan Selatan,290.0,300.0,SHM,Non-furnished,6,4,2200.0,0,0
2500000,  Balikpapan Selatan,172.0,510.0,SHM,Non-furnished,4,3,4400.0,0,0
